track_name,artist_name,artist_pop,artist_genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre_score,track_pop
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,64,['dance pop'],0.782,0.685,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.016,180566,4,13.0,79
Here Comes The Sun - Remastered 2009,The Beatles,82,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4,15.0,82
Shallow,Lady Gaga,83,"['art pop', 'dance pop', 'pop']",0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323,95.799,215733,4,34.0,83
Sweet but Psycho,Ava Max,80,"['dance pop', 'pop']",0.72,0.706,-4.719,0.0473,0.0684,0.0,0.166,0.62,133.002,187436,4,32.0,81
Tacones Rojos,Sebastian Yatra,80,"['colombian pop', 'latin', 'reggaeton colombiano']",0.748,0.856,-3.517,0.0348,0.0824,0.0,0.142,0.927,123.031,189320,4,14.0,84
Me Voy Enamorando,Chino & Nacho,63,"['electro latino', 'latin', 'latin hip hop', 'latin pop', 'trap latino', 'tropical']",0.685,0.912,-3.411,0.0687,0.0538,0.0,0.392,0.511,99.957,235720,4,20.0,59
Bailando - Spanish Version,Enrique Iglesias,75,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",0.723,0.777,-3.503,0.108,0.0426,3.68e-06,0.0451,0.961,91.017,243413,4,45.0,54
Somebody That I Used To Know (Glee Cast Version),Glee Cast,70,"['glee club', 'hollywood', 'post-teen pop']",0.833,0.467,-7.693,0.0355,0.554,1.14e-05,0.135,0.814,128.918,246187,4,12.0,49
All of the Stars,Ed Sheeran,90,"['pop', 'uk pop']",0.436,0.562,-6.106,0.0278,0.0102,0.000278,0.198,0.24,150.066,234987,4,26.0,67
Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,62,['hollywood'],0.887,0.441,-8.98,0.114,0.0514,0.00667,0.0338,0.715,129.908,126880,4,6.0,68
Happier,Marshmello,81,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.015,214290,4,40.0,84
Boho Days,Andrew Garfield,59,"['hollywood', 'pop']",0.781,0.595,-8.904,0.859,0.766,0.0,0.342,0.865,81.379,88282,4,25.0,64
Broken Frame,Alex & Sierra,60,"['neo mellow', 'pop', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",0.534,0.415,-9.025,0.0367,0.701,0.0,0.105,0.212,54.048,220053,4,38.0,38
Je T'aime,Vishal-Shekhar,71,"['desi pop', 'filmi', 'modern bollywood']",0.654,0.668,-6.532,0.043,0.591,4.57e-05,0.105,0.763,121.996,241068,4,7.0,42
