track_name,artist_name,artist_pop,artist_genres,album,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_pop
Rise Again,Kevin Waters Group,36,[],Rise Again,0.45,0.105,-15.388,0.0355,0.977,0.38,0.106,0.184,114.51,299264,4,44
In The Wee Small Hours Of The Morning,Gerry Mulligan Sextet,39,"['bebop', 'cool jazz']",Night Lights (Expanded Edition),0.521,0.00894,-24.142,0.0414,0.974,0.371,0.108,0.171,115.007,339533,3,50
Lush Life,Tiril Brandt,24,[],Lush Life,0.496,0.134,-19.588,0.0385,0.958,0.946,0.107,0.0407,98.992,242399,4,43
A Hero Lives Another Day,Claudia Torrek,28,['background jazz'],A Hero Lives Another Day,0.424,0.138,-16.483,0.032,0.968,0.89,0.123,0.0626,81.347,186768,4,47
Rainbow Mountains,Chris Memento,37,[],Rainbow Mountains,0.409,0.166,-14.307,0.0339,0.919,0.753,0.315,0.164,108.547,290750,4,39
Seymour Reads the Constitution,Brad Mehldau Trio,40,"['contemporary jazz', 'jazz', 'jazz fusion', 'jazz trio', 'modern jazz trio']",Seymour Reads the Constitution!,0.586,0.284,-15.468,0.0363,0.76,0.783,0.102,0.391,93.365,483280,3,45
Closing Doors,Jazmina Tozer Three,21,[],Closing Doors,0.334,0.175,-17.782,0.0355,0.96,0.924,0.0977,0.0891,84.616,180548,3,39
I´m Getting Sentimental Over You,The Collective,39,['background jazz'],A Ghost Of A Chance,0.422,0.101,-17.722,0.0452,0.985,0.872,0.156,0.183,112.219,162573,4,52
Foggy Sunday,Bladverk Band,43,['background jazz'],Foggy Sunday,0.43,0.0934,-11.827,0.0311,0.956,0.774,0.14,0.166,49.928,227159,4,39
You're Good to Me,Three Four Trio,43,[],The End is the Beginning,0.387,0.0465,-20.573,0.0369,0.964,0.861,0.108,0.0554,83.73,194245,4,54
Nothing Lasts Forever,Danny Ryan Jazz Band,42,[],"Honey, You Are My Everything",0.454,0.167,-19.684,0.0299,0.958,0.777,0.0962,0.112,95.812,282640,4,51
Danny´s Dream,Eddie Harper,37,['background jazz'],If You Could See Me Now,0.283,0.086,-17.989,0.0461,0.972,0.443,0.19,0.26,203.925,214092,1,46
Autumn Serenade,Tim Franks Trio,39,[],Autumn Serenade,0.447,0.113,-20.352,0.0401,0.965,0.925,0.1,0.178,114.85,236327,4,55
Ballad Of The Sad Young Men - Live,Keith Jarrett Trio,41,"['contemporary jazz', 'ecm-style jazz', 'jazz', 'jazz fusion', 'jazz trio']",Tribute,0.333,0.115,-27.905,0.0473,0.838,0.382,0.673,0.124,139.496,422200,4,42
Sometimes,Maurice Font,43,['background jazz'],Sometimes,0.294,0.112,-22.33,0.0464,0.835,0.935,0.12,0.0721,179.82,183750,3,56
I Can't Get Started - Instrumental,Cannonball Adderley,55,"['bebop', 'big band', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'vocal jazz']",Nancy Wilson/Cannonball Adderley,0.393,0.147,-13.093,0.0418,0.869,0.0411,0.0938,0.205,175.541,297533,3,44
Compassion,Jenny Jones,39,[],Compassion,0.472,0.0993,-17.907,0.0432,0.982,0.62,0.143,0.165,112.93,251443,4,51
In This Wonderful World,Rainy Days Trio,41,[],In This Wonderful World,0.264,0.169,-18.472,0.038,0.952,0.53,0.165,0.0799,180.973,244402,3,40
Eternity,Greydon Park Band,39,['background jazz'],Eternity,0.521,0.0568,-18.52,0.0313,0.952,0.229,0.104,0.0685,80.391,218141,4,52
the point above,Brandon's Three,44,['background jazz'],the point above,0.45,0.0767,-22.482,0.0378,0.869,0.747,0.0853,0.167,100.427,168616,4,54
Blueberry Street,Danny Ryan Jazz Band,42,[],Blueberry Street,0.311,0.129,-19.6,0.0317,0.964,0.371,0.126,0.0523,92.552,255734,4,37
Lost in Orbit,Dan Evans-Parker,36,[],Lost in Orbit,0.28,0.0656,-21.513,0.0325,0.552,0.54,0.115,0.148,88.03,153785,4,54
Lover For The Day,Mr. Right Time,38,[],Lover For The Day,0.323,0.135,-17.884,0.0359,0.96,0.895,0.244,0.0748,82.465,211786,4,40
You Don't Know What Love Is,The Sweetgreens,45,['background jazz'],You Don't Know What Love Is,0.581,0.0509,-25.046,0.0377,0.854,0.892,0.124,0.269,118.494,150123,4,51
Abisko,Norberg,32,['background jazz'],Abisko,0.547,0.0608,-19.962,0.0317,0.883,0.552,0.0952,0.132,105.068,168190,4,47
I Remember Clifford,Benny Golson,42,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz saxophone', 'stride', 'vocal jazz']",Benny Golson And The Philadelphians,0.304,0.124,-18.748,0.0438,0.351,0.0,0.157,0.124,181.665,182427,3,51
Älvan,Robert Elovsson,41,['background jazz'],Älvan,0.326,0.0882,-25.202,0.058,0.991,0.922,0.107,0.229,205.083,202375,3,45
Monk's Mood,The Holly Molly Trio,26,[],Monk's Mood,0.451,0.138,-16.646,0.0338,0.94,0.933,0.1,0.0558,99.127,240449,4,43
Blue in Green,Hudson Harris & Haim,42,['background jazz'],Blue in Green,0.557,0.0593,-23.714,0.0383,0.827,0.772,0.108,0.15,117.939,229885,4,53
Moment To Moment,Theo Rollins,37,[],Moment To Moment,0.479,0.12,-20.076,0.0437,0.965,0.913,0.11,0.142,103.572,177147,4,52
Alone at Night,Danny Walgreen,39,[],Alone at Night,0.531,0.148,-21.015,0.0327,0.752,0.747,0.125,0.0589,95.778,179768,3,44
Yesterday,Tommies Trio,16,[],Yesterday,0.472,0.133,-20.789,0.0376,0.889,0.931,0.108,0.135,107.868,227279,4,35
desire strongly,Brandon's Three,44,['background jazz'],desire strongly,0.465,0.0485,-23.546,0.0401,0.962,0.942,0.103,0.154,97.369,179800,4,52
Comme Il Faut,Lia Riggs Trio,41,['background jazz'],Comme il faut,0.41,0.275,-16.246,0.0351,0.888,0.515,0.113,0.153,107.619,222509,3,44
When All Was Said and Done,Sally's Trio,36,[],When All Was Said and Done,0.267,0.113,-21.599,0.0331,0.959,0.197,0.126,0.074,84.64,275719,4,52
Let's Not,Danny Ryan Jazz Band,42,[],Blueberry Street,0.392,0.0946,-18.784,0.0285,0.953,0.702,0.107,0.087,92.183,265317,4,39
Sleep Paralysis,The City of Birches,39,['background jazz'],Sleep Paralysis,0.483,0.106,-14.615,0.0425,0.978,0.296,0.209,0.252,112.145,262977,4,51
Close Your Eyes,Saginaw Society,36,[],Close Your Eyes,0.538,0.166,-17.592,0.0402,0.978,0.852,0.127,0.201,105.436,226886,4,54
Counting Stars,Rainy Days Trio,41,[],Lonesome Road,0.497,0.118,-16.891,0.0309,0.927,0.0547,0.114,0.148,94.476,254676,4,55
Change of Heart,Turtleneck Trio,34,['background jazz'],Change of Heart,0.3,0.125,-20.38,0.03,0.97,0.439,0.146,0.0894,84.856,291840,4,53
Searching,Geeder,39,['background jazz'],Searching,0.436,0.174,-13.01,0.0411,0.959,0.475,0.222,0.171,86.676,208607,3,36
Don't Love Me,Coleman Hawkins Quartet,36,['jazz quartet'],Today And Now,0.42,0.116,-18.078,0.0419,0.943,0.0801,0.124,0.142,120.071,279013,4,49
I Thought About You,Gaige Myers,34,[],I Thought About You,0.459,0.175,-16.85,0.0381,0.94,0.935,0.117,0.0731,114.052,278529,4,53
Lake Natron,Andy Miller Group,38,['background jazz'],Lake Natron,0.441,0.135,-17.223,0.0363,0.895,0.937,0.105,0.223,111.704,224525,4,43
Someone to Watch Over Me,Ben Webster,50,"['adult standards', 'bebop', 'jazz', 'jazz saxophone', 'stride', 'swing', 'vocal jazz']",See You At The Fair,0.555,0.0456,-21.914,0.05,0.983,0.362,0.086,0.357,93.526,270267,3,41
Monkish,Joseph Drilbit,6,[],Monkish,0.528,0.191,-16.349,0.0363,0.965,0.953,0.103,0.0888,102.711,227890,4,22
Nightfall,Charlie Haden,46,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'ecm-style jazz', 'jazz', 'jazz double bass', 'jazz fusion']",Nocturne,0.431,0.146,-21.72,0.0389,0.94,0.865,0.113,0.0699,108.229,396120,4,41
I Should Care,Hank Mobley,46,"['bebop', 'big band', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",Music For Lovers,0.615,0.141,-12.893,0.0402,0.967,0.0719,0.179,0.256,105.628,462773,4,43
Under the same roof,Krista Lake Band,35,[],Old Habits,0.399,0.0648,-22.132,0.0362,0.972,0.757,0.11,0.0392,91.306,238426,4,54
Misty November,Kevin Waters Group,36,[],Misty November,0.444,0.108,-16.79,0.0339,0.981,0.92,0.105,0.237,47.453,192519,4,38
Minor Steps,Lee Davis,31,[],Minor Steps,0.361,0.0892,-19.531,0.0326,0.966,0.967,0.147,0.113,107.333,241750,4,37
Black Monday,Hamilton Jones Trio,29,[],Black Monday,0.448,0.17,-17.722,0.043,0.962,0.899,0.11,0.161,117.394,205543,4,48
Alone And I - Remastered 2007,Herbie Hancock,54,"['contemporary post-bop', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'uk contemporary jazz']",Takin' Off (Expanded Edition),0.409,0.0681,-17.935,0.0334,0.98,0.948,0.0971,0.0577,101.784,389773,4,45
Whatever Possessed Me,More than Jazz,33,[],Whatever Possessed Me,0.369,0.143,-14.486,0.0392,0.967,0.00897,0.101,0.229,176.892,229676,3,51
Say It (Over And Over Again),John Coltrane Quartet,46,"['bebop', 'jazz', 'jazz quartet', 'jazz saxophone']",Ballads (Deluxe Edition - Rudy Van Gelder Remaster),0.488,0.124,-13.038,0.0404,0.963,0.333,0.246,0.205,66.105,255960,4,55
A Time for Love,Peter Rostov Trio,24,['background jazz'],A Portrait of Jennie,0.366,0.0819,-18.675,0.0437,0.955,0.888,0.0816,0.121,49.112,228473,4,42
Silhouette,Carlton Maison Quartet,42,['background jazz'],I´m Glad There Is You,0.516,0.144,-14.12,0.042,0.983,0.32,0.149,0.336,109.544,231774,4,42
Somewhat Melancholy,The Greenview,19,[],One Day I Wrote Her Name,0.549,0.12,-20.021,0.0333,0.991,0.877,0.11,0.126,99.581,197776,4,38
Where Or When,Nelly Vernon,37,[],Where Or When,0.347,0.0822,-19.329,0.0334,0.982,0.962,0.11,0.251,98.0,203483,4,50
Farewell,Mandevilla,43,['background jazz'],Farewell,0.488,0.197,-17.524,0.0434,0.955,0.939,0.105,0.113,112.819,239687,5,46
Longing,Basinettes,23,[],Longing,0.535,0.0689,-21.391,0.038,0.869,0.0292,0.0766,0.211,123.288,196784,4,38
You Confuse Me,Jeff Laine & Co,26,[],You Confuse Me,0.352,0.0754,-15.685,0.0345,0.932,0.0288,0.11,0.0789,103.117,191527,4,43
All To Soon,Long Island Quartet,40,['background jazz'],All To Soon,0.422,0.188,-13.013,0.0553,0.966,0.000424,0.187,0.329,182.092,253641,3,49
"Ruby, My Dear",The Sweetgreens,45,['background jazz'],"Ruby, My Dear",0.371,0.165,-19.273,0.0363,0.916,0.937,0.22,0.0816,95.691,168880,4,51
Misty,Bob Brookmeyer,42,"['bebop', 'cool jazz', 'jazz trombone']",Bob Brookmeyer & Friends,0.377,0.0839,-17.9,0.0356,0.985,0.21,0.104,0.15,54.348,317933,4,42
Turn Out the Stars,Tyrone Coates & Friends,32,[],Turn Out the Stars,0.48,0.0663,-19.529,0.045,0.945,0.92,0.124,0.0772,96.096,203671,4,48
Moonbow,Willowdale,32,[],Moonbow,0.273,0.124,-19.123,0.0365,0.914,0.723,0.105,0.116,73.391,232500,3,42
Ascent,Art Hirahara,45,[],Balance Point,0.465,0.0604,-23.367,0.042,0.945,0.893,0.108,0.0394,101.23,250869,4,57
Årstaviken,Bergsundet,33,[],Årstaviken,0.423,0.071,-20.012,0.0397,0.947,0.672,0.102,0.1,94.975,219776,3,52
Landing,Red Brick Lane,32,[],Landing,0.292,0.0382,-17.212,0.0378,0.927,0.915,0.101,0.167,53.081,181390,4,50
Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,42,"['bebop', 'hard bop', 'jazz', 'jazz saxophone', 'soul jazz']",Look Out! (Remastered),0.505,0.159,-11.235,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4,50
Midnight midtown,Nordic Swing,31,['background jazz'],Midnight midtown,0.484,0.217,-12.61,0.0345,0.944,0.304,0.104,0.161,92.299,273616,4,50
