track_name,artist_name,danceability,energy,instrumentalness,liveness,genre_score,track_pop
You Right,335,0.828,0.621,0.00233,0.0845,836.0,85
Wild Side (feat. Cardi B),864,0.74,0.576,0.0,0.104,1038.0,7
Peaches (feat. Daniel Caesar & Giveon),619,0.677,0.696,0.0,0.42,584.0,87
Chicken Lemon Rice,939,0.516,0.895,0.54,0.492,3.0,38
LALA (Unlocked) (feat. Swae Lee),57,0.615,0.56,0.000114,0.314,658.0,48
Good Love 2.0,939,0.782,0.568,0.000666,0.399,3.0,44
Skate,211,0.708,0.598,0.0,0.17,836.0,41
Come Through (feat. Chris Brown),469,0.615,0.422,0.0,0.112,901.0,67
Just For Me (with SZA) - Space Jam: A New Legacy,1004,0.699,0.689,1.62e-05,0.238,120.0,61
At My Worst (Nikhita Gandhi Remix),921,0.798,0.415,0.0,0.165,552.0,37
F&MU,652,0.717,0.597,0.0,0.14,960.0,0
That's What I Like,211,0.853,0.56,0.0,0.0944,836.0,83
Needed Me,979,0.671,0.314,0.0,0.0825,882.0,0
Leave The Door Open - Live,211,0.532,0.683,0.0,0.984,836.0,56
Please Me,230,0.747,0.57,0.0,0.0832,938.0,74
Cupid's Curse (feat. Kehlani),917,0.685,0.4,0.0,0.148,63.0,48
Damage,469,0.646,0.696,0.0,0.115,901.0,63
We Belong Together,769,0.837,0.462,0.0,0.09,875.0,69
PERSIAN RUGS,889,0.768,0.428,0.000491,0.105,749.0,65
Motivation,864,0.599,0.887,1.21e-06,0.3,1038.0,72
Heartless,1191,0.537,0.746,1.01e-06,0.156,594.0,76
Banger,0,0.651,0.654,0.00016,0.0863,103.0,39
Two Ways,1221,0.679,0.463,0.0,0.114,955.0,0
OTW,667,0.652,0.678,3.26e-05,0.106,551.0,73
Like I Want You,445,0.678,0.355,7.06e-05,0.114,583.0,76
feel something,153,0.74,0.415,0.000156,0.319,1233.0,71
No Options,623,0.409,0.419,1.08e-06,0.135,744.0,26
HMU,1045,0.755,0.704,7.65e-05,0.0804,1040.0,52
Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),351,0.664,0.61,0.0,0.097,77.0,58
Float,5,0.852,0.48,0.0,0.0872,164.0,0
Trip,375,0.717,0.605,0.0,0.138,983.0,0
Still Be Friends (feat. Tory Lanez & Tyga),424,0.803,0.759,0.0,0.0921,644.0,69
Fight for You,978,0.532,0.473,7.83e-06,0.111,13.0,40
Focus,469,0.414,0.314,1.47e-05,0.117,901.0,64
Smile (with The Weeknd),613,0.694,0.685,0.0,0.124,15.0,72
Love Galore,1006,0.795,0.594,0.0,0.162,583.0,0
Issues,1137,0.645,0.459,0.0,0.325,43.0,23
Make Me Feel (feat. Rick Ross & Ari Lennox),1078,0.607,0.812,1.43e-05,0.169,8.0,43
Hard Place,469,0.614,0.719,1.72e-05,0.163,901.0,0
Comeback (feat. Tory Lanez and 30 Roc),578,0.676,0.537,0.000122,0.108,1119.0,1
Fashion,532,0.719,0.575,0.0,0.11,58.0,22
BRB,754,0.757,0.545,4.76e-05,0.102,915.0,43
1894,68,0.865,0.764,0.0028,0.107,89.0,38
NOT TOO DEEP (feat. 6LACK),513,0.631,0.352,1.04e-05,0.117,41.0,39
COFFEE,656,0.857,0.69,0.0,0.0942,1151.0,51
Falling (Summer Walker Remix),1220,0.691,0.573,0.0,0.076,629.0,0
Calm Down (Bittersweet) [feat. Summer Walker],7,0.579,0.612,0.0,0.108,63.0,49
Vibe (If I Back It Up),280,0.754,0.568,0.00932,0.118,11.0,54
Comfortable,1035,0.693,0.426,1.42e-06,0.759,58.0,28
Don't Cry (feat. Trevor Jackson),15,0.821,0.629,0.0,0.11,0.0,26
Slow Down (with H.E.R.),1078,0.683,0.715,1.72e-06,0.0935,8.0,6
"Safety 2020 (feat. Chris Brown, Afro B & DJ Snake)",426,0.701,0.811,0.0204,0.082,63.0,55
Ubumnandi (feat. Nia Pearl & MDU a.k.a TRP),633,0.819,0.811,0.134,0.0552,6.0,32
Falling Back,348,0.718,0.758,0.00653,0.11,154.0,0
Giving Up,1121,0.377,0.951,0.253,0.129,4.0,28
Ferrari,539,0.844,0.688,5.39e-05,0.0492,622.0,54
LOW,877,0.678,0.807,0.00284,0.292,667.0,62
21 Reasons (feat. Ella Henderson),835,0.621,0.785,5.92e-06,0.0512,514.0,82
Afraid To Feel,689,0.578,0.912,0.00362,0.273,0.0,76
On Repeat,989,0.609,0.801,0.00255,0.37,1101.0,75
365 (Thr33 6ix 5ive),498,0.788,0.96,0.00673,0.0878,0.0,60
Deep Down (feat. Never Dull),62,0.687,0.818,0.0,0.248,54.0,30
Do It Better (feat. Zoe Wees),403,0.677,0.804,1.92e-05,0.158,1199.0,75
Potion (with Dua Lipa & Young Thug),222,0.824,0.697,4.11e-05,0.077,1107.0,88
Lonely Heart,555,0.786,0.733,0.0,0.0564,1251.0,69
Kernkraft 400 (A Better Day),1214,0.623,0.727,2.02e-05,0.309,611.0,29
Heaven Takes You Home (feat. Connie Constance),1117,0.665,0.738,0.00598,0.0923,735.0,81
Massive,348,0.499,0.671,0.0169,0.148,154.0,0
About Damn Time - Purple Disco Machine Remix,714,0.8,0.771,0.0,0.229,855.0,68
Better,1090,0.593,0.857,0.143,0.192,622.0,59
Highest Building (feat. Oklou),410,0.414,0.68,8.13e-05,0.0948,109.0,69
Summer In New York,1083,0.706,0.77,1.84e-05,0.209,94.0,72
Something Real,58,0.519,0.61,0.151,0.191,266.0,24
Words (feat. Zara Larsson),48,0.739,0.586,0.000252,0.308,1136.0,82
Ritmo,947,0.484,0.858,0.00216,0.372,4.0,75
He Goes Down,952,0.782,0.897,0.0104,0.357,0.0,13
The Fall,1150,0.664,0.939,0.0142,0.167,1161.0,71
Belly Dancer,511,0.845,0.797,5.57e-06,0.167,604.0,86
In Chicago,592,0.73,0.849,0.82,0.159,266.0,63
Savage,1205,0.694,0.7,0.0,0.0719,1161.0,73
Escape (feat. Hayla),686,0.66,0.799,0.000364,0.701,184.0,76
Stay the Night,1068,0.636,0.936,0.0,0.0879,1126.0,75
Questions,721,0.599,0.713,2.53e-05,0.266,795.0,76
Chromatic,100,0.607,0.914,0.162,0.165,161.0,58
Sete,139,0.736,0.827,0.00828,0.351,5.0,65
Till The End - Jonas Blue & Sam Feldt Present Endless Summer,600,0.522,0.918,0.0023,0.163,1110.0,63
Move It,1237,0.796,0.894,0.859,0.0685,260.0,65
Drag Me Out,635,0.879,0.769,0.00171,0.116,4.0,61
If We’ll Ever Be Remembered,775,0.502,0.554,0.0,0.62,1157.0,63
LET’S DO IT AGAIN - Radio Edit,545,0.66,0.837,0.876,0.0704,10.0,65
EYES,1147,0.818,0.433,0.00413,0.124,2.0,62
GOOD TIMES,617,0.627,0.947,0.0203,0.328,13.0,67
go - goddard. Remix,243,0.728,0.689,6.14e-05,0.107,538.0,78
Looking at Your Pager,626,0.708,0.872,0.0661,0.108,4.0,60
Wasteland,816,0.563,0.836,0.0,0.243,19.0,56
Alive (with Calle Lehmann),460,0.627,0.869,5.3e-05,0.104,1090.0,65
We Will Meet Again,1022,0.401,0.786,0.0065,0.134,284.0,61
Mine O' Mine,63,0.68,0.842,0.00152,0.334,336.0,59
Crazy What Love Can Do,308,0.601,0.713,0.0,0.158,1087.0,86
The Calling,1132,0.748,0.873,0.151,0.244,307.0,61
I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),877,0.686,0.892,7.11e-06,0.0838,667.0,72
LIGHTWAVES,164,0.647,0.908,2.48e-06,0.075,230.0,60
Come Around Again,119,0.589,0.912,0.0,0.0752,206.0,67
Waterfall,331,0.691,0.733,5.61e-05,0.0894,688.0,70
Teardrops (feat. Majid Jordan),740,0.603,0.899,0.00647,0.0782,508.0,65
Let Me Take You,219,0.874,0.908,0.0891,0.343,303.0,54
No One Dies From Love,1216,0.652,0.801,1.22e-06,0.264,949.0,76
Need U - Spotify Singles,1090,0.745,0.772,1.69e-06,0.23,622.0,60
Love Letter (feat. The Knocks),870,0.635,0.835,0.0119,0.285,6.0,63
Happy Music,1112,0.777,0.738,0.37,0.0265,9.0,65
"Baby, We're Ascending",470,0.429,0.811,0.13,0.502,10.0,50
Where you are (feat. WILLOW),922,0.689,0.872,0.000498,0.117,2.0,72
Talk (with Royal & The Serpent),723,0.76,0.707,0.00617,0.115,909.0,44
Shivering (feat. Spiritbox),508,0.428,0.907,1.71e-06,0.129,796.0,67
INTO THE UNKNOWN,481,0.457,0.954,0.778,0.297,637.0,58
Consciousness,104,0.596,0.837,0.806,0.297,0.0,61
Horizon,1079,0.545,0.816,0.897,0.104,113.0,54
It's A Killa,398,0.78,0.914,0.00701,0.151,2.0,65
